Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Germany,2013,,,20.70075878,,16.41781585,7.194545595,6.34531042,6.902628061,North America
Japan,2014,5047.950504,3727.691542,46.90105396,32.23467761,18.43350897,16.20880439,4.744788664,13.48806513,Africa
France,2014,3014.208964,1741.729137,29.09627805,17.58222823,21.99122399,19.05181736,7.47481363,17.64000294,Africa
Japan,2006,8074.036708,3973.462716,29.64714279,14.07311326,10.28081156,13.8260662,6.26878849,18.54656302,Asia
Germany,2004,9073.128356,,46.76501108,26.1224778,19.46729215,5.204774511,4.499097454,9.077645879,Oceania
South Africa,2017,8348.729004,1470.397559,25.90194814,30.23871527,23.84090535,6.812370945,9.243935992,15.8569482,Europe
United States,2003,,5389.145755,,13.85128433,5.806746521,15.17801813,11.91344995,15.95841816,North America
China,2011,4208.82348,4320.526199,49.56717196,26.01481649,0.697915415,8.792945134,6.648736636,16.12198317,Africa
United States,2008,,5609.485544,39.45626074,30.73404333,3.851896946,7.48569788,13.15044256,18.07744811,Asia
Mexico,2002,8328.635439,3634.804557,27.56408978,32.66756864,,12.82403143,10.93575323,9.538920703,North America
Brazil,2000,3412.061238,,21.2817703,30.97488214,,15.70876162,8.740084247,8.105767439,South America
Mexico,2001,,,44.41196297,29.47094717,19.49627046,12.38745638,14.97018549,19.75230042,South America
Mexico,2008,9683.486888,4636.264241,37.31858377,,,10.55764016,6.298314758,12.26090863,Europe
South Africa,2002,,3457.596306,22.16436782,33.75602625,,17.42175903,13.24168248,10.06235986,Europe
Australia,2001,5135.706145,,,15.2628129,17.17678584,6.930601793,7.394673233,13.05650825,South America
India,2018,3514.67736,,32.52856862,18.95456856,17.70887695,5.677632516,5.315269691,18.15552257,Oceania
Mexico,2006,4703.748412,1660.323933,24.85483643,25.39272337,,17.32381739,9.783125552,9.992834242,Africa
India,2013,,,,30.65532032,24.13660632,14.22371849,11.91238529,12.24524168,North America
Japan,2007,,7538.702099,36.91407511,17.52885363,24.8783179,8.80530738,11.7194699,18.11714714,Europe
India,2014,2485.42741,4060.824114,36.40202774,,2.731407287,8.578519214,10.66884387,15.29854934,North America
Australia,2010,,7861.532542,38.48726521,29.77618619,9.91498217,9.106827911,14.68098503,15.46639743,South America
Australia,2003,5143.507375,,44.94354845,15.73893623,16.86560328,8.497851281,10.27421179,10.92395278,South America
United States,2012,5461.507282,,45.21537499,,29.16984488,7.057703729,6.256254302,17.94910006,Asia
Canada,2013,,,,21.66306359,8.95168036,7.952827121,3.094682071,8.272490056,North America
Japan,2011,6803.908532,,41.40262632,12.3781979,17.22232932,10.47664452,7.072914908,17.6749631,Oceania
Australia,2000,7328.603337,6247.979657,24.71387905,23.81659693,,18.87820256,8.040122376,6.353432231,Oceania
Russia,2022,4797.13335,4265.555079,22.00672752,38.41883651,2.472144127,10.47625623,5.264409954,15.24729541,Oceania
Australia,2022,,,22.23455839,11.5998826,17.12762198,19.21870133,9.071902416,14.91702341,Asia
Germany,2012,,3530.895279,41.53859429,18.65447938,26.2111775,5.374266479,11.73372946,12.31762624,Oceania
Japan,2002,8106.135138,4040.235068,,24.34432765,14.98082783,17.61193948,11.1890029,6.734178935,South America
India,2007,,7075.058851,48.21418798,14.0996384,19.82908385,14.04009985,13.67761771,5.946172438,Africa
Japan,2012,,693.8894505,,11.03050845,5.559312367,8.221121451,10.05302588,19.57797031,Europe
Brazil,2013,6388.019042,4164.447606,42.79195437,26.71340736,19.98131336,12.0127265,12.45193315,15.10668948,Europe
Brazil,2006,4776.957597,,,,0.287155702,6.229365468,5.804768883,12.28188549,Africa
India,2002,6922.726469,5381.281813,30.86677194,14.56709389,8.153030785,8.420649186,7.18780523,14.64837726,Africa
Russia,2006,2224.6147,5320.283589,37.18659167,,,9.856651878,11.64201298,14.02810064,Asia
United States,2003,7527.267219,4663.906918,35.03332763,22.30410078,17.97866535,10.80905506,13.79401062,12.39097314,Africa
India,2021,4131.891669,,47.40397161,29.00475287,22.853355,7.343173644,13.16764373,15.77155435,Oceania
Canada,2021,8196.04743,745.7903584,36.21184811,32.28617963,1.606487541,7.46443531,8.280917543,13.62226937,South America
Mexico,2017,6258.2497,4800.194284,,26.674932,12.9819544,19.85316728,14.39540639,12.832136,Europe
France,2010,9700.736811,1215.631654,39.0704579,30.50767976,10.45808273,13.09373968,11.44888388,17.07805828,South America
United States,2018,4015.542146,,,16.79332264,23.03434753,13.98231477,3.76884312,17.02930221,South America
India,2006,6361.334619,1724.808523,37.18202697,,21.94017791,12.40684708,11.44568103,17.71211323,Europe
Japan,2008,8165.024853,,,,5.306314986,8.35295972,12.97989499,6.231206083,North America
India,2005,3413.105983,715.1680258,40.92243928,,6.768756724,16.06690133,5.193003907,18.63553571,South America
United States,2001,3839.543941,2767.466063,33.77879631,,29.25097663,9.446304996,13.73135818,15.17783328,Asia
United States,2009,2746.440528,,36.52586524,30.20614733,,6.644599926,5.709366507,9.06316331,Asia
Canada,2016,9642.34636,1571.768293,32.87259719,32.40562477,9.677465536,14.96597392,14.69013189,12.19961704,North America
South Africa,2020,3158.529397,,38.19079402,24.37279161,14.21123021,12.05808195,13.89057391,16.56748681,South America
South Africa,2009,9689.442704,5281.983884,23.75652113,,24.71811405,7.821531852,7.044341651,19.03853625,Europe
South Africa,2011,5531.303982,2551.388133,30.83578914,14.00301789,,9.475072466,4.381527241,14.10562766,Africa
India,2010,7425.91314,6484.670947,37.48179808,34.35297297,14.76411026,19.15801539,5.657246447,15.80510507,Africa
Brazil,2010,,1038.493256,34.83785263,,18.49549382,14.29553871,13.83302827,5.312435971,North America
Russia,2008,7615.593765,500.1587894,20.00662063,,1.216669321,9.601140958,13.29821797,10.25487226,Europe
India,2018,5481.902599,,23.38345229,,12.03003802,10.65845914,9.044277795,15.50493205,North America
United States,2008,,,31.22580109,17.65538548,16.18565516,17.63651896,12.67484511,7.076452936,South America
Russia,2009,8658.923942,,,39.4968843,24.23784405,8.499931485,10.02676169,11.35478465,Europe
China,2015,5901.365548,,39.00861574,29.30334677,4.027856949,12.47011571,7.389472101,7.111908401,Africa
France,2018,2296.446183,7184.241945,36.57332557,32.8729601,23.12319205,16.11534818,5.924468349,17.18489597,Oceania
United States,2003,3963.33474,5346.31459,,26.28919163,26.32828484,17.51038649,11.30555659,5.789713665,Europe
India,2010,,756.7725715,23.65963127,37.92610247,4.920402263,9.893821732,7.487395168,12.48854437,South America
India,2013,9009.904074,4099.854508,39.61873702,17.14512685,,11.09078432,14.0447794,16.67076719,Asia
South Africa,2010,7463.440744,7543.90472,,,22.19922144,6.755092057,10.23464489,19.46636675,Europe
India,2019,5610.718801,7700.262768,39.72521268,,17.19365599,6.696140675,6.863429026,16.25677718,Asia
South Africa,2008,4848.747244,,39.33635034,,9.13999848,13.83815964,5.181621096,17.3056798,North America
France,2004,9040.112363,742.6350194,40.09857436,17.99963194,,14.4413504,6.526036937,11.79679822,Europe
Brazil,2001,4915.402966,2238.355595,,39.3119546,16.06712727,11.97272507,8.947685745,16.84431946,South America
China,2012,,6691.856322,42.21136709,,25.94981393,18.8673101,5.664682208,9.906297319,Asia
Mexico,2006,4570.247131,,,27.12916892,8.461838984,13.84908957,11.05276444,14.11621577,North America
Germany,2013,2162.887015,1842.912828,43.61386356,,13.54064279,13.90564195,6.260710045,6.71394919,Oceania
United States,2009,2335.361826,7040.384547,20.93617975,26.76656835,27.43957617,11.60749591,3.854747135,15.17623993,Africa
South Africa,2015,4739.116563,2804.535565,,20.39098423,11.55597304,13.34747919,11.58726804,11.38016595,Oceania
France,2015,3957.8583,2169.869552,34.26303884,,6.446842369,5.36282189,5.137866124,15.1908156,South America
United States,2012,,3885.263936,48.58491821,18.90166145,4.440806576,5.530710117,6.463560634,17.54117202,Europe
Russia,2000,6685.321791,,,31.89639851,2.989771223,11.49560044,3.490395036,9.941726549,Asia
United States,2022,2852.192613,,42.87846392,21.86268381,6.384266369,19.24948489,14.29627556,14.5661799,South America
Brazil,2006,6479.46903,1510.979517,,37.74300339,,17.18418825,6.970188356,6.262458858,North America
Germany,2020,,3064.096234,23.53049882,24.02063354,5.105292432,16.46122283,12.43062052,18.13176697,Europe
Russia,2004,3264.599283,4551.299793,49.21161819,25.24209371,23.48314959,8.747571363,13.99160298,19.76687989,North America
India,2003,3934.866538,,30.34315169,35.32285552,,12.20407436,14.88961937,14.64029663,Asia
China,2007,5436.285423,3372.577727,30.44657418,26.75387332,25.71495146,5.138225537,9.608410103,12.28480793,Europe
Japan,2005,7318.100435,6005.872245,20.08964046,,5.719425765,16.02236197,10.95948612,19.01796594,Oceania
China,2021,,2474.329171,38.5547448,21.03980827,29.27629243,19.9557758,5.55466828,12.88663676,Africa
United States,2005,8486.72505,,32.50932161,34.612783,18.51766666,18.71839642,11.78617337,7.326957893,Oceania
South Africa,2001,,,49.99719373,16.0436664,27.07440859,12.39581462,4.180680977,9.729652456,Europe
Brazil,2005,7490.783609,1980.490806,44.69642695,16.11623093,10.22186002,14.10777679,13.03826783,18.75095745,Oceania
Brazil,2020,3204.971087,4847.20942,,31.14095245,5.166065845,18.10473768,5.867029436,9.105125232,South America
United States,2007,2303.993601,,41.46363916,12.59400603,,11.21243403,8.615762189,8.456868255,Oceania
Mexico,2007,9307.099914,6663.984357,24.0885034,31.45260605,26.67395942,13.96953262,10.19385929,7.054479156,Oceania
South Africa,2017,2808.390121,2870.25841,36.64057022,15.96094031,22.62050761,17.28950871,6.551807739,14.01908501,Asia
Brazil,2011,2950.227947,5646.947645,25.02382407,21.59962851,10.59855106,14.66991695,6.540695469,19.2927648,Africa
Russia,2012,,,35.86755259,13.6298874,25.56170428,8.48122649,10.27722389,7.603319554,Europe
South Africa,2016,3656.345327,,,28.47027588,14.71598004,10.75291443,12.53217405,9.755925,Asia
Canada,2016,4414.425031,3133.161794,47.75809239,27.86463147,15.61395902,8.59280095,13.51850054,19.00761551,North America
Mexico,2011,6387.411966,7722.46292,37.9530741,,7.986062741,10.98236056,5.662296739,9.200797532,North America
United States,2003,,5902.388027,,,7.98112884,11.46625369,8.835665281,8.357815324,North America
Canada,2012,2892.101464,2321.689267,48.06400337,,1.88065098,18.24719261,13.34599837,17.44107625,Asia
India,2007,9412.830582,7647.059423,33.98604604,16.52752539,10.78561263,6.958241307,10.21382947,6.499494498,North America
Russia,2009,,,,35.06827694,20.56851339,12.75744381,4.287372334,7.849275987,Oceania
Brazil,2015,,,27.34638611,39.53996786,,13.28371446,4.415575029,5.79712423,Asia
Germany,2022,8443.618582,2292.48116,,14.03617858,16.17007216,6.95085633,6.212414756,6.197480246,Oceania
Japan,2004,5404.910692,2632.902528,27.37176308,,16.3363503,8.24795368,12.80044204,19.71927317,Asia
United States,2008,8003.855661,1753.623863,40.65957492,18.06704986,,8.568770818,11.39253207,10.5283703,Asia
France,2016,4804.886967,,,35.20119332,8.299425372,18.38239324,3.308173217,14.98181777,Oceania
South Africa,2010,2145.530359,6581.445077,26.3696739,32.11143833,0.149233804,6.27108536,8.356827893,14.21272449,South America
Brazil,2002,7597.567173,,49.48977319,16.32137143,14.83990174,8.687350121,8.693882834,12.49903525,Asia
Germany,2015,,4941.234173,27.39618481,27.98642014,18.90985633,6.814013856,10.727635,7.113592357,Oceania
Canada,2011,6367.391123,5622.379642,34.93379753,28.63244574,,8.858897142,3.555196225,17.60594809,Asia
Australia,2020,9302.760302,6196.050441,21.8206105,,11.14969282,13.71228445,6.631368373,6.756901926,Europe
Australia,2011,,3820.39568,,18.29747033,,15.33464028,8.75533231,5.356268504,Europe
Canada,2006,8277.936977,3553.189843,35.81389517,21.91817417,20.28338107,8.415608311,11.44902299,11.62323408,North America
Canada,2017,5377.485399,4333.777137,43.03217278,15.37157794,22.14851632,19.01561474,13.254397,15.11405208,Asia
France,2017,4510.665502,4672.77107,20.58440271,15.32304918,29.99026706,5.160299845,7.008022477,12.59006314,Asia
Japan,2000,8197.774581,3434.519954,26.26336277,,14.53081717,9.804072255,9.414728454,6.383642098,Europe
Germany,2003,5343.927345,7216.302676,36.04288834,23.78351857,,17.20847351,3.914446725,8.26808366,Oceania
Germany,2018,3373.575081,4456.420498,37.74088158,11.44784194,9.653533236,13.57791207,4.240288521,13.44061922,Oceania
Australia,2014,4886.310961,2128.453168,,12.04903523,25.32169265,14.15943251,14.13768589,11.47005778,Africa
Germany,2021,9541.925203,2979.293389,20.38731221,14.45479661,,19.25888881,13.01507006,16.92147516,South America
India,2014,5447.46275,6639.648755,35.59763343,14.79085784,17.10637275,11.0568644,9.805252554,11.69054562,Europe
Russia,2019,6454.700967,574.9949338,42.24536892,16.95511399,,10.98158231,4.313236491,13.4191367,Europe
China,2003,2722.875598,2269.806461,,38.89242629,28.29486935,7.830084551,7.129364303,18.40185185,South America
Japan,2011,4193.22466,4974.979394,34.08586204,33.1438441,7.653272923,16.1519366,7.283396756,12.22618147,South America
Mexico,2002,8365.096931,3382.85308,,,15.52414307,9.81906792,10.86074317,14.73143907,Oceania
Russia,2020,2025.201093,1876.185389,27.31267808,,,19.03345167,12.76876298,14.19064437,South America
Russia,2007,,809.8618379,49.50349802,20.90048432,2.334075831,17.02723901,9.997479465,14.90155153,Africa
Russia,2009,4728.480055,,32.94609531,,21.66067879,12.93982448,5.055723307,10.2506615,North America
Japan,2017,2759.708874,6083.883952,,16.70738675,1.113175175,7.918703298,6.818998592,19.45689116,South America
South Africa,2010,7929.763287,4775.658078,22.65279396,10.45818356,24.05680332,5.245139589,8.208922742,9.470645819,South America
Brazil,2002,2528.367202,2025.339385,47.14153097,37.50284966,,16.78963226,4.534324474,19.95739752,North America
South Africa,2018,4655.186449,670.0547349,44.97057029,12.59222588,5.209759995,5.634175934,12.93641195,6.818154299,North America
Brazil,2018,6733.708196,3375.276176,47.86982163,10.08356757,,18.56481745,9.024355475,19.47498554,North America
United States,2011,8735.663998,846.4418664,43.77800692,37.27458472,24.76558617,10.190492,9.072206744,19.35501111,Europe
Australia,2020,9090.176563,3483.858751,20.73128624,15.16149829,1.270698592,16.27625725,5.83635434,16.11455914,Europe
Japan,2015,5929.750488,6998.927336,45.04091946,29.28727951,,7.015273717,11.61510832,15.45888654,South America
United States,2007,5163.474534,7480.70962,21.46226258,32.18922914,15.52871548,14.51284798,5.286417824,10.51874556,North America
Brazil,2008,9469.579897,3218.544394,35.29969436,32.28512007,22.38331752,7.526021489,9.412271409,5.671746655,North America
Australia,2011,7377.574267,5893.265971,24.1305106,30.60645649,23.1119344,15.1485701,5.336314531,5.512021079,North America
China,2007,,7101.298476,45.13373496,26.31817702,0.089499967,18.5711942,6.441401742,9.406622759,South America
South Africa,2004,5829.134195,1428.351251,32.41475293,12.69308666,7.9013469,17.22847891,9.240824958,7.193281695,North America
Brazil,2016,3238.553525,3260.92926,35.66305581,,25.74030446,8.640680265,12.71465,9.117475103,Oceania
Brazil,2008,,,,18.59305238,12.53766196,15.56214232,12.48052924,14.37295466,Oceania
France,2005,4883.942444,1046.630382,,16.03680459,25.0803766,15.40058675,3.646356013,7.139248716,South America
United States,2014,,768.9664037,35.86052626,34.86769321,9.172232492,7.355607111,3.370799758,13.41700804,Europe
France,2008,2773.047924,3567.937095,36.876875,,4.121711068,5.715435097,11.74934495,18.45503951,Oceania
South Africa,2002,4498.767829,2599.647981,25.91673308,23.92870819,21.17279522,6.995489734,7.112355731,13.82830638,Asia
Germany,2004,2459.325811,6483.977129,31.93761879,24.27377583,,11.96783352,6.081014673,11.69588995,Asia
China,2013,4432.961336,2656.593425,,27.97576943,,17.62210956,12.89996103,7.727193034,Oceania
China,2000,5936.821049,5513.913277,,,,8.847038749,14.59803331,13.77200598,North America
South Africa,2020,4049.480278,,20.73526507,28.07836055,23.8418156,6.655273644,4.923805256,17.78778376,Asia
Canada,2013,5940.954302,853.4593042,38.30242758,35.9175461,16.85867272,9.918412974,6.225445553,6.659279354,Europe
Germany,2007,,6851.632868,39.82541947,17.62645624,6.172901039,16.76894312,3.081032438,5.265894779,South America
United States,2016,,5680.644505,35.58753539,27.90644976,0.406400237,14.56568434,6.234177092,19.92752267,South America
India,2016,4148.013955,3174.990999,35.33038474,29.91298991,,8.522598158,13.81483995,17.49204301,South America
Mexico,2017,3238.183028,3568.439756,36.76348465,39.73948127,22.18625354,14.05911775,8.17796511,19.53335167,Europe
Japan,2013,7294.921665,1891.335823,25.93281018,,11.7567636,15.68513597,13.69535153,5.738515174,South America
Australia,2012,2756.034039,,39.97901351,29.10368679,15.52358203,16.47794473,13.37872262,19.19524515,Oceania
South Africa,2008,3597.710006,7595.632538,39.46190794,10.90898467,10.22159482,15.25201476,9.936821968,16.75071809,Asia
Mexico,2002,2472.621425,3046.912086,44.06530494,35.77834728,22.12722228,13.18677902,12.27232586,13.48711335,Asia
Canada,2000,9945.76084,5221.45601,23.05272802,15.15080226,29.54390135,18.69175975,11.01224204,18.52908418,North America
Japan,2003,3098.137081,4717.191095,27.3997277,,24.0147731,8.126676322,4.805537263,19.42069246,South America
China,2000,9968.849417,,41.64234586,28.19780016,11.84619244,19.19571553,3.806540213,11.77053538,Oceania
Russia,2005,4356.421122,691.4454526,45.32221663,23.436457,5.449893399,6.985795892,11.88034659,17.67842846,Oceania
France,2019,4658.124909,,27.54546157,13.54689421,3.334934853,7.134370878,10.19213658,19.52759053,North America
United States,2017,7287.654395,5778.467513,,,20.93046902,14.27498087,12.33882842,11.95651095,Oceania
Canada,2000,,3950.082439,42.67913966,28.41405122,7.06926619,8.383655412,7.125251551,11.02765432,North America
Brazil,2021,5568.841279,5783.897636,22.34716974,21.68170971,21.93473575,14.25547164,11.07430191,17.43464757,South America
Australia,2019,,1082.01699,36.42036996,22.12125331,16.64525912,9.433582287,11.87053644,7.250943256,North America
India,2003,,6820.030092,,32.05613409,20.97250161,14.6900713,6.036743539,10.99987977,Asia
Brazil,2020,6469.294314,959.8331616,33.15872799,12.21226999,22.12435216,14.32248185,14.6639423,18.91929786,Asia
Brazil,2012,8339.62529,6711.572719,25.05517795,,0.13674001,18.89409143,8.794168959,12.43183559,Oceania
Canada,2018,2527.8998,1810.520232,27.36654289,,24.9264469,10.41263977,7.464629361,9.129510283,North America
Canada,2010,6361.073487,6483.73177,25.11935463,14.95244639,27.28990806,13.58553881,8.141881193,17.88616806,Oceania
France,2019,9642.48591,7456.661022,36.60877291,21.05130106,16.22376129,11.7358175,12.1200054,5.738401832,Europe
Germany,2016,,6514.106632,,31.19856388,23.73245436,13.48652244,3.529265712,19.76792919,Asia
Japan,2007,4739.288174,,28.27459292,17.71745416,22.48906117,13.65346359,13.06940514,9.22051108,Europe
Brazil,2017,5378.618863,,42.34731143,10.9554804,15.94413796,18.03779663,14.2558593,6.363311955,Europe
China,2017,4307.512032,,27.04327345,30.3127772,27.38586938,17.55998447,13.93334929,17.68540307,Europe
China,2007,4346.823273,6276.79805,40.89723838,24.99689901,15.26956159,18.08031466,14.69012919,5.331529413,North America
Australia,2020,7925.724449,6378.866218,35.05574961,30.98157795,4.945128229,15.32838425,4.798173971,18.50515371,Europe
India,2001,2799.889823,2681.560219,31.47940356,36.91631035,25.81705909,16.47807508,4.141911074,9.554501065,Oceania
Australia,2007,2686.706937,1835.792183,,,22.13059772,6.485354211,9.926618945,5.199602435,Asia
South Africa,2007,7555.537824,6859.266413,37.22725493,18.48327179,16.12010045,11.81693673,12.27226968,14.77739315,North America
Mexico,2006,4125.278379,3666.317167,22.16948845,,19.30375517,5.613183624,6.242268019,11.89681663,North America
India,2012,9894.106251,7374.861235,26.80290384,31.97071505,11.56454997,18.03769841,11.18399295,6.379627068,North America
South Africa,2000,9453.908818,1898.252014,21.86744822,,5.444171134,9.575238111,13.63490531,11.08887807,South America
Canada,2018,7168.4137,7451.270976,26.18563401,10.45244382,17.09958286,11.58801498,13.70949846,15.4207631,Oceania
Mexico,2000,2936.775865,6310.912352,24.552279,,28.11499982,6.997502787,9.501601369,11.02981334,South America
Russia,2014,2861.290667,7813.215474,31.80905203,10.25284547,25.33165886,17.48686088,12.63615919,16.05409327,Africa
China,2011,6130.844911,708.5239492,,24.96787447,11.32517472,14.7119737,14.53721212,15.9774127,Oceania
Brazil,2012,8240.796643,645.0414685,34.34509685,23.06009459,8.180782873,5.915503182,10.86467937,16.59516615,Africa
Japan,2014,4154.835759,2974.490705,,,,18.82697347,3.339407213,9.254873147,Africa
India,2004,8730.198916,5430.071275,48.33195011,,22.7942439,18.56321025,12.42615604,6.062353879,North America
France,2021,8323.336648,,,,13.18630921,12.48892545,7.116037995,14.87212653,Europe
Canada,2000,4129.281373,1572.980562,,35.96096342,13.74690827,11.42093916,9.968679629,12.88716006,Africa
Japan,2017,,3378.218409,36.68493527,36.82118569,25.93791078,12.29066275,7.397121892,11.74455724,North America
Japan,2020,8702.531084,,40.46306728,36.63085868,,13.6035658,7.856216215,18.28522289,North America
France,2003,3654.151937,,21.43404858,28.25444199,20.17993649,11.29176403,6.401747983,17.7053736,South America
Mexico,2004,7051.946221,3580.654801,44.32132601,37.18728178,20.61485596,17.10567887,12.78334601,15.486899,Oceania
India,2014,4739.852477,,25.87886479,39.34452362,23.84785509,8.663934302,3.819949983,8.178373167,Oceania
Russia,2006,2588.393666,5682.475495,26.95241619,,6.643185645,13.15384357,4.0033147,17.42308728,South America
Japan,2009,9343.932665,5910.937057,22.23507642,26.5919148,29.63905072,19.32788747,13.97939403,13.89009331,Asia
South Africa,2013,3147.46607,,40.3581351,38.70467333,2.866723994,8.052968063,3.295243147,9.581732085,Europe
France,2015,9900.170058,5617.022925,31.2140748,10.42907832,15.90124173,7.135807856,12.69164945,18.89466221,Asia
Australia,2003,2691.367631,6165.125278,28.46600863,,24.12572883,7.941144924,9.999056203,17.18213971,Asia
Brazil,2005,8942.771751,2854.856416,,20.26544454,3.669212967,7.423072726,14.4008206,14.85247029,Africa
Germany,2014,7805.648137,5708.391122,32.90264575,,9.322085604,11.61272921,10.74670524,13.13317021,Asia
India,2007,5079.836744,798.6803203,22.41901217,11.81761184,26.25205409,17.50585567,14.41306361,16.24292102,Oceania
Russia,2003,,7068.306248,35.37263935,35.12357965,11.63931443,9.616098742,4.729666222,12.96064698,Oceania
France,2016,8804.912321,1055.574471,48.88377877,26.78339938,,13.94420786,8.55601714,8.629746464,South America
South Africa,2019,3878.673065,646.0465556,45.39915481,,13.47403799,6.843467395,9.869178161,18.34035283,Europe
China,2001,,3563.058453,36.53218212,19.50210865,23.50738132,5.167032214,10.10340031,15.1290757,Africa
Germany,2015,4494.487359,2896.357957,,19.6454742,7.246035289,11.49620804,12.69619459,14.93981474,North America
Russia,2014,4844.550526,6402.27647,49.71333657,36.8979813,12.83503877,8.875710695,4.940298406,19.78981704,Europe
Russia,2010,7297.66528,7036.339016,23.76891274,30.57542102,23.13482682,13.80914321,5.24956829,19.4203884,Oceania
Germany,2006,,,,15.28587438,19.00147531,13.90189539,4.245942022,9.942141261,Europe
Canada,2000,4269.018096,4729.141809,24.77230106,16.21092108,19.94665906,9.168129038,12.7237785,5.442060708,Africa
Brazil,2017,3990.99653,4507.783942,41.04712259,21.08902609,10.67804872,18.5981151,14.61040143,5.664432187,Europe
Japan,2013,9944.069372,6861.054547,34.24689439,35.18472292,6.926003878,5.036853434,14.53136006,6.915135225,Europe
Brazil,2019,2127.627365,6354.916995,,21.09709537,5.047585768,19.21672105,12.483012,15.84483529,South America
Mexico,2000,5162.166418,3694.330132,43.58213534,13.87117017,,13.2121914,3.377966125,7.915305284,Europe
Canada,2019,6850.296216,6239.795943,,25.63142466,7.071289227,18.66453315,6.623449506,5.787401875,South America
India,2019,,3093.222733,30.12659794,,22.50955235,14.32505591,11.37125531,18.00126175,Oceania
Mexico,2002,9710.813854,,20.60182163,33.05560295,4.537752295,13.30717321,8.080939038,8.330828163,Asia
United States,2006,4063.756229,,22.43995632,25.46111337,1.847685864,17.79311367,4.289465608,17.69045909,Africa
Australia,2005,,6613.724886,20.01405767,,,13.01555425,9.713802395,9.013341828,Oceania
Brazil,2011,,5437.551048,36.86890592,11.93385645,22.11927974,14.12155125,14.25166466,16.38265706,Asia
Russia,2022,,3319.168276,40.8261085,21.34560817,19.37315648,14.56151001,13.63102018,5.195989569,Oceania
Germany,2003,9166.134113,6822.874338,26.70693547,,23.55165199,15.25207976,3.87122572,18.56295653,Asia
Japan,2016,5745.066512,5303.20558,44.72965135,23.87781885,9.8856457,10.99924791,6.78692304,5.308929545,Asia
Brazil,2012,,4440.26958,28.22465483,21.49746602,,19.48043536,5.808247347,8.948536609,Oceania
United States,2019,6137.609329,,,,10.68451425,15.16192635,10.7550879,19.22121485,South America
United States,2007,,5441.206617,38.53495351,32.3573326,27.05243345,18.57926243,6.315795202,18.48462101,Europe
Australia,2017,5679.192549,,22.96503697,22.58813893,27.16584374,8.110860761,13.25907877,6.002223718,South America
Japan,2016,6956.068141,4230.989383,,26.36322323,,9.881704174,12.82172821,9.763529375,Europe
Japan,2020,2881.501472,,26.47657878,,,7.280539319,13.36015417,8.040950983,Africa
South Africa,2016,7937.973746,2924.59348,26.91433791,,16.55256531,18.54066401,10.5068508,15.84377114,South America
Mexico,2006,4957.920001,5752.209727,33.52647397,15.79851197,1.227948319,9.580085888,7.222076813,10.749712,Europe
South Africa,2006,2936.10832,7300.584769,49.90656699,32.71700795,13.22105305,14.8466618,3.028866367,11.7538587,North America
Mexico,2013,4144.35322,4235.235567,45.07155591,21.83949546,28.27851661,19.8839719,5.562617593,18.57643875,South America
South Africa,2017,2638.336372,2799.25013,49.06603946,27.47890912,17.74553346,17.43926626,4.209642796,5.737594325,Oceania
Australia,2000,9897.434221,1364.724211,24.10153702,,2.42068992,9.972563037,12.47688593,6.408925191,Asia
South Africa,2005,3911.04001,1045.572549,20.66425884,22.69966881,20.89173664,17.11847833,3.477511458,16.98905985,Asia
United States,2008,7426.349076,4549.876115,22.98754696,10.42614764,18.10712446,12.24388286,4.663071654,6.923630367,Oceania
Russia,2004,9062.657667,,45.26879525,27.22694086,8.149103872,13.77181163,12.97080689,17.4247214,North America
Germany,2002,7741.79765,5179.623516,31.26133535,17.61021656,,17.31241331,5.919201123,13.56191967,Asia
China,2008,7165.986827,2263.018771,47.51017769,35.32344682,3.769485493,18.20734443,13.24788219,18.099326,Oceania
Japan,2021,5992.529152,2377.558382,47.34826432,,20.23817083,9.918220364,6.274358038,9.830490497,Africa
Canada,2011,8194.935559,6120.695574,40.69182674,,,7.468657875,8.176401597,5.810854231,Asia
Japan,2006,6957.676848,1353.063704,31.54722363,35.61460862,11.0239793,15.33491163,8.111207971,13.48575708,Oceania
Brazil,2010,8233.551027,5677.731594,49.65966715,18.71012453,,19.11092659,9.957530794,8.908647501,Africa
Mexico,2014,3214.554722,1605.205539,22.79013368,29.21036551,18.10329823,6.615767142,6.289680614,15.44105015,Asia
India,2022,4027.673167,,34.89042855,,,15.43931254,13.69883175,8.145477303,Africa
Russia,2008,7013.500367,4378.575401,,19.26955646,11.14107927,5.389579509,11.30671891,16.44818585,North America
India,2018,6497.954482,5694.838878,38.17215049,24.49685659,0.153429487,13.6424568,3.08246871,14.53102387,South America
United States,2018,3496.357012,,40.44365865,24.25358112,23.13661075,10.88104152,13.16200436,10.43616792,Oceania
Mexico,2013,6200.934653,3668.92924,49.06768691,,18.90746016,18.99784122,11.77643361,7.239038742,South America
Russia,2004,7348.012664,727.6540492,42.83968257,20.67659098,23.41439742,9.040834593,9.796746561,14.64039576,South America
Germany,2006,,1147.960499,46.49519683,15.56615099,20.87522977,11.34410885,8.155528283,16.86283284,Asia
India,2015,,,30.51237216,,6.565170923,14.5013939,12.33514015,10.20260548,South America
